TransactionID,Amount,TransactionType,CustomerAge,AccountBalance,Location,DeviceUsed,TimeOfTransaction,CardType,PreviousFraudHistory,MultiDeviceUsed,TransactionSpeed,MerchantRisk,RepeatedTransactions,InternationalTransaction,Fraudulent
1502,4797.026957521012,ATM,48,36993.28997714587,UK,Mobile,Morning,Credit,0,0,1.6960408535158433,Medium,0,0,1
2587,727.0403042028652,Online,58,24193.067514531012,UK,Desktop,Morning,Credit,1,0,0.9890952696480269,Medium,0,0,1
2654,533.0266516728493,Online,76,28506.348741445727,USA,Mobile,Evening,Debit,1,1,0.34683343997731453,Medium,1,1,1
1056,3513.6110363625844,Online,54,33032.394456928385,UK,Tablet,Night,Debit,0,0,3.16924532199502,High,0,0,1
706,9899.702721575553,POS,23,44874.14423977123,Canada,Desktop,Evening,Debit,0,0,3.325119791066933,Low,0,0,1
107,4109.725401125941,Online,44,21142.803928343073,UK,Tablet,Morning,Credit,1,0,2.611484800247039,High,0,0,1
590,1527.5079081878205,POS,64,36385.47592036188,Germany,Mobile,Afternoon,Credit,0,0,1.6331072036145535,High,0,0,1
2469,4760.704914493398,POS,57,20885.108833930284,Germany,Mobile,Evening,Credit,0,0,4.239349438629356,Medium,0,0,1
2414,285.0918314959602,ATM,64,14956.514781562219,Canada,Tablet,Evening,Credit,0,1,1.7261847710957245,Medium,0,0,1
1601,1926.7545739402417,POS,53,37429.217350176645,Mexico,Mobile,Morning,Debit,0,0,0.6839855242385802,Low,0,0,1
2465,6210.398193447595,ATM,43,15319.05184681448,India,Tablet,Evening,Prepaid,0,0,2.6531742462979144,High,0,0,1
229,8921.545086219361,Wire Transfer,73,14877.338067166513,France,Mobile,Morning,Credit,0,0,1.8821443593621734,High,0,0,1
916,4366.904026061814,POS,47,25892.26560934526,UK,Tablet,Afternoon,Debit,0,0,4.176358815049143,Medium,0,0,1
795,190.9207363701967,POS,60,41676.981577188686,UK,Mobile,Night,Debit,0,0,2.051071144770638,Low,0,0,1
3022,4333.341127196633,Wire Transfer,57,18749.60724732948,USA,Desktop,Evening,Prepaid,0,0,0.34899403421934083,High,0,0,0
3544,3433.02501375999,Wire Transfer,54,33687.231502400886,USA,Tablet,Evening,Prepaid,1,0,4.586057775465625,Low,0,0,0
1074,188.56060798680397,POS,68,8924.20371735424,UK,Desktop,Morning,Credit,0,1,2.2319412291012317,Low,0,0,1
3352,4254.259920252189,Wire Transfer,59,21053.56990968169,UK,Desktop,Afternoon,Prepaid,0,0,0.8193098861141673,Medium,0,0,0
1745,4167.3784418158175,Wire Transfer,43,12111.78300379036,UK,Mobile,Morning,Credit,0,0,4.861057333781612,High,0,0,1
1085,9447.87290269119,Online,69,11272.869336882935,Canada,Mobile,Afternoon,Prepaid,0,1,4.946934963758761,Low,1,1,1
927,2694.086820255611,POS,58,49681.7724246471,France,Mobile,Afternoon,Debit,0,1,4.7052026781616565,Medium,0,0,1
3050,2650.1198689548064,Online,40,28695.715447313123,UK,Tablet,Night,Prepaid,1,0,4.583417166395536,Medium,0,0,0
1118,8775.8340176775,POS,32,25621.661628465758,Mexico,Tablet,Morning,Debit,0,0,2.5772605308589895,Medium,0,0,1
