Transaction_ID,Timestamp,Amount,Merchant,Location,Card_Type,Device,Is_Fraud
1,30/01/2025 05:23,46.93,Chavez PLC,Port Reginaborough,Amex,Desktop,0
2,15/01/2025 06:45,301.01,"Perez, Davila and Carter",Port Anne,Discover,Mobile,1
3,03/02/2025 21:32,131.67,Freeman Inc,West Charles,Amex,Mobile,1
4,02/01/2025 20:20,91.29,Rogers-Wright,Thomasberg,Discover,Mobile,0
5,28/01/2025 15:29,16.96,Wilson Group,Dixonland,Discover,Mobile,0
6,13/01/2025 17:28,16.96,"Jimenez, Carlson and Thornton",West Donald,Amex,Desktop,0
7,06/01/2025 06:32,5.98,Byrd-Simpson,Vincentshire,MasterCard,Desktop,0
8,23/01/2025 12:41,201.12,"Curtis, Cooper and King",East Zacharyton,Discover,Desktop,0
9,18/01/2025 19:05,91.91,"Howard, Marshall and Bell",North Janet,Amex,Desktop,0
10,18/01/2025 18:47,123.13,Ellison-Gonzalez,Erinport,Visa,Mobile,0
11,07/01/2025 03:10,2.08,Kelley Group,Clarkland,Amex,Tablet,0
12,21/01/2025 08:39,350.36,"Page, Griffin and Holder",North Williamburgh,Visa,Desktop,0
13,03/02/2025 03:59,178.64,Clark-Beard,Vincentside,Discover,Desktop,0
14,27/01/2025 07:24,23.87,"Allen, Bennett and Lewis",Christopherton,Amex,Mobile,0
15,04/02/2025 07:16,20.07,Whitehead-Shields,New Angelica,Amex,Mobile,0
16,20/01/2025 08:51,20.26,"Gay, Patel and Chambers",Caseyland,Visa,Mobile,0
17,10/01/2025 04:00,36.28,Anderson Group,South Eric,Amex,Mobile,0
18,14/01/2025 23:44,74.39,Luna PLC,Cookchester,Amex,Tablet,0
19,30/01/2025 09:02,56.55,"Castro, Kemp and Bowen",Ambermouth,Discover,Tablet,0
20,02/02/2025 17:36,34.42,Stuart and Sons,Dickersonton,Amex,Desktop,0
21,29/01/2025 21:31,94.64,Burgess-Perez,Walterchester,MasterCard,Tablet,0
22,15/01/2025 23:09,15.02,Brooks Inc,Port Ericburgh,Visa,Desktop,0
23,02/02/2025 14:33,34.55,Ramos Ltd,Lake Nicholasport,Amex,Desktop,0
24,01/01/2025 01:34,45.63,Potts-Casey,Lake Evelynburgh,Visa,Tablet,0
25,11/01/2025 17:02,60.89,"Cole, Jordan and Walker",New John,Visa,Desktop,0
26,29/01/2025 00:57,153.79,King Inc,Lowefort,Visa,Mobile,0
27,20/01/2025 05:09,22.27,"Payne, Sandoval and Young",Lake Leahport,Amex,Desktop,0
28,03/01/2025 23:18,72.2,Garcia Ltd,Mcguireland,Amex,Mobile,0
29,07/01/2025 06:24,89.75,"Booth, Wallace and Richards",West Rachel,Visa,Tablet,0
30,27/01/2025 23:13,4.76,Vargas-Morse,Codyport,MasterCard,Tablet,0
31,03/01/2025 03:27,93.53,"Newman, Olson and Smith",North Monica,Visa,Desktop,0
32,03/01/2025 02:12,18.7,"Miller, Washington and Hogan",Richardsmouth,MasterCard,Mobile,0
33,11/01/2025 14:36,6.73,Guzman Group,Lake Jose,Visa,Desktop,0
34,02/02/2025 12:47,297.37,Chen LLC,North Cherylside,Discover,Tablet,0
35,10/01/2025 04:15,337.06,Griffith-Fernandez,Jasonchester,Visa,Desktop,0
36,29/01/2025 13:01,165.23,Bennett and Sons,West Dianaport,Visa,Desktop,0
37,20/01/2025 11:00,36.33,Skinner-Hess,Danielmouth,Amex,Mobile,0
38,11/01/2025 01:56,10.28,Banks Group,Keithtown,MasterCard,Tablet,0
39,31/01/2025 10:15,115.28,"Hayden, Cannon and Reeves",Judyside,Discover,Desktop,0
40,16/01/2025 07:44,58.01,Tyler and Sons,Brownmouth,MasterCard,Mobile,0
41,10/01/2025 05:41,13.02,Shields Ltd,East Amanda,Discover,Desktop,0
42,28/01/2025 02:18,68.35,"Johnson, Jones and Sweeney",New Rebecca,Visa,Mobile,0
43,05/01/2025 04:35,3.5,"Smith, Bailey and Madden",Chenberg,Amex,Mobile,0
44,24/01/2025 22:11,240.04,"Cline, Brown and Brown",Brandonmouth,Amex,Desktop,0
45,17/01/2025 08:00,29.95,Smith Inc,Lake Peterton,MasterCard,Tablet,0
46,19/01/2025 18:40,108.63,Harmon-Pratt,Port Abigail,Amex,Tablet,0
47,24/01/2025 15:32,37.35,Gaines LLC,Vasquezview,MasterCard,Mobile,0
48,14/01/2025 06:36,73.41,"Powell, Marquez and Wilson",Wernertown,MasterCard,Tablet,0
49,11/01/2025 20:43,79.12,Gilbert PLC,Princeland,Discover,Mobile,0
50,18/01/2025 20:17,20.44,Webb LLC,Lake Melissaville,MasterCard,Tablet,0
51,04/01/2025 08:20,349.28,Garrison-Gilmore,New Jennifer,Discover,Desktop,0
52,05/02/2025 02:45,149.22,"Richardson, Smith and Barajas",Port Nicholas,Amex,Tablet,0
53,15/01/2025 05:31,280.51,"Simmons, Pearson and Gutierrez",North Kimberly,MasterCard,Mobile,0
54,13/01/2025 18:12,225.22,"Lee, Dean and Mathews",Fisherchester,MasterCard,Mobile,0
55,24/01/2025 22:53,91.11,Moore-Stone,South Kevin,Visa,Tablet,0
56,21/01/2025 14:57,254.94,"Silva, Collins and Griffin",Meganland,MasterCard,Desktop,0
57,14/01/2025 01:00,9.27,Nguyen-Davis,Danielshire,MasterCard,Mobile,0
58,11/01/2025 17:32,21.81,Evans PLC,Ericaborough,Visa,Mobile,0
59,04/02/2025 16:06,4.63,Smith PLC,South Amberhaven,Visa,Mobile,0
60,19/01/2025 13:19,39.35,Clark LLC,South Davidmouth,Amex,Mobile,0
61,17/01/2025 08:16,49.21,Andrews Ltd,Wallsland,MasterCard,Mobile,0
62,09/01/2025 14:12,31.66,"Shannon, Davis and Garcia",Mirandachester,Amex,Desktop,0
63,26/01/2025 03:19,176.46,Dixon LLC,Valentineburgh,Amex,Tablet,0
64,24/01/2025 19:35,44.12,Horn-Brown,West Wendyport,Visa,Desktop,0
65,15/01/2025 10:53,32.98,Banks-Alvarado,Lake Amy,Discover,Desktop,0
66,07/01/2025 04:32,78.24,Jones PLC,Davidshire,Amex,Mobile,0
67,31/01/2025 07:04,15.19,Welch-Miller,Campbellfurt,Discover,Desktop,0
68,05/01/2025 01:27,162.05,Barnett-Maldonado,Lake James,MasterCard,Mobile,0
69,02/02/2025 11:45,7.75,Brown-Donaldson,South Christopher,Visa,Desktop,0
70,05/02/2025 07:45,433.41,"Fisher, Neal and Cook",East Victoriaberg,MasterCard,Mobile,0
71,19/01/2025 04:09,147.95,"Castillo, Ruiz and Mason",South Kara,MasterCard,Mobile,0
72,26/01/2025 09:12,22.15,Torres-Humphrey,North Allisonberg,Visa,Desktop,0
73,31/01/2025 14:58,0.55,Mills Group,New Debbiechester,MasterCard,Desktop,0
74,01/02/2025 08:31,168.99,"Garcia, Barber and Finley",South Stephanieton,Visa,Tablet,0
75,18/01/2025 23:33,122.71,Holloway Group,Kingside,Discover,Tablet,0
76,10/01/2025 03:59,130.57,Smith Group,Lindsayton,MasterCard,Tablet,0
77,15/01/2025 03:58,147.52,Clark-Norris,Leeberg,Visa,Desktop,0
78,02/01/2025 01:56,7.69,Sanchez-Francis,Briggsmouth,Amex,Desktop,0
79,19/01/2025 02:41,44.39,Carter-Hatfield,Andreaville,MasterCard,Mobile,1
80,04/01/2025 06:44,12.32,Jones-Gray,Rebeccaberg,Discover,Tablet,0
81,19/01/2025 05:11,198.85,Stokes PLC,Gregton,Visa,Mobile,0
82,19/01/2025 01:04,97.63,Gomez-Oneal,Mariachester,MasterCard,Mobile,0
83,04/02/2025 09:25,40.18,Miller-Jones,Gutierrezview,MasterCard,Mobile,0
84,29/01/2025 02:52,6.57,Garcia-Mathews,Gibsonbury,MasterCard,Mobile,0
85,05/01/2025 02:41,37.25,"Ellis, Thompson and Cole",Larafort,Discover,Tablet,0
86,06/01/2025 15:55,39.33,Olsen LLC,Lake Andreamouth,Visa,Mobile,0
87,05/01/2025 02:31,130.79,Mclaughlin LLC,Kimport,Amex,Desktop,0
88,05/02/2025 11:48,101.49,"Yoder, Owens and Dean",Wrightmouth,Amex,Desktop,0
89,08/01/2025 18:52,218.23,"Jones, Walker and Weaver",Brittanyfort,Amex,Desktop,0
90,31/01/2025 05:02,63.91,"Cole, Ortega and Jennings",East Timothy,Visa,Tablet,0
91,08/01/2025 14:19,12.74,"Walker, Goodwin and Williams",Port Markborough,Amex,Mobile,0
92,12/01/2025 22:31,124.91,Morgan Inc,Kristinton,Discover,Tablet,0
93,25/01/2025 02:54,143.04,Bowen-Scott,Lake Karenland,Visa,Mobile,0
94,12/01/2025 21:35,82.39,Willis Inc,Kimberlymouth,MasterCard,Tablet,0
95,14/01/2025 07:18,147.39,"Martin, Flowers and Anderson",Matthewview,Discover,Tablet,0
96,22/01/2025 20:51,68.08,"Smith, Taylor and Ryan",West Gabrielfort,MasterCard,Mobile,0
97,31/01/2025 09:40,73.97,Lawson-Scott,South Julieshire,Amex,Tablet,0
98,30/01/2025 09:20,55.78,Oconnor PLC,North Scott,Discover,Mobile,0
99,15/01/2025 19:13,2.57,"Martin, Day and Barnett",South Brittany,Visa,Desktop,0
100,02/02/2025 11:04,11.42,"Gomez, Bradley and Williams",West Barbaraberg,Discover,Desktop,0
101,06/01/2025 14:42,3.19,"Smith, Green and Patel",Bethanyfurt,MasterCard,Desktop,0
102,03/01/2025 03:49,101.17,"Ellis, Ruiz and Adams",South Matthew,Visa,Tablet,0
103,08/01/2025 19:20,37.74,Thomas-Dunn,Hughesmouth,Discover,Desktop,0
104,03/02/2025 11:49,71.04,"Williams, Andrews and Jackson",New Brandi,Discover,Mobile,0
105,28/01/2025 13:53,238.13,Smith-Schmidt,Mirandafort,Discover,Desktop,0
106,19/01/2025 20:33,28.67,Walker-Stewart,Hillview,Discover,Desktop,0
107,20/01/2025 12:24,52.83,Brown and Sons,Angelport,Visa,Tablet,0
108,22/01/2025 08:07,140.87,"Haynes, Ryan and Fowler",Yvetteberg,MasterCard,Mobile,0
109,20/01/2025 00:06,25.98,Doyle-Morris,Bethmouth,Discover,Tablet,0
110,18/01/2025 08:17,8.01,"Rojas, Thornton and Perry",South Brianna,Visa,Tablet,0
111,04/01/2025 05:11,34.21,Taylor Ltd,Lake Mariamouth,MasterCard,Mobile,0
112,18/01/2025 09:38,17.58,Lang Ltd,Gavinshire,Discover,Tablet,0
113,24/01/2025 11:34,265.5,Fuller-Young,Lake Billhaven,MasterCard,Mobile,0
114,15/01/2025 11:57,165.09,"Knox, Cruz and Roberts",Brittanychester,MasterCard,Desktop,0
115,25/01/2025 16:01,100.35,Caldwell-White,East Christopher,Visa,Mobile,0
116,03/02/2025 00:02,205.15,"Gay, Stein and Delgado",Vincentport,MasterCard,Mobile,0
117,06/01/2025 23:20,162.8,Jones and Sons,Lake Nancy,Visa,Mobile,0
118,01/01/2025 16:53,20.65,Avery-Townsend,North Melody,Discover,Tablet,0
119,16/01/2025 17:46,223.08,Anthony-Higgins,Jenkinsberg,MasterCard,Mobile,0
120,24/01/2025 14:08,77.51,Miller Ltd,South Kathryn,MasterCard,Mobile,0
121,17/01/2025 19:00,164.73,Allison-Gonzales,Port Kristen,Amex,Mobile,0
122,05/02/2025 04:07,226.42,"Fernandez, Jackson and Gross",Henryhaven,Discover,Desktop,0
123,22/01/2025 08:22,38.27,Phillips Group,Veronicashire,Discover,Mobile,0
124,22/01/2025 11:54,11.66,Rodriguez Inc,Lake Randallhaven,Amex,Tablet,0
125,17/01/2025 07:40,25.87,Jacobs-Kelly,Toddville,Amex,Mobile,0
126,05/01/2025 15:52,55.71,Kim and Sons,Port Chloeville,Visa,Mobile,0
127,05/02/2025 00:39,170.38,Bond LLC,Michaelport,Visa,Desktop,0
128,05/02/2025 04:22,197.13,Rosales-Velazquez,New Stevenmouth,MasterCard,Mobile,0
129,07/01/2025 10:46,0.7,"Wright, Meyer and Cannon",Jamesborough,MasterCard,Tablet,0
130,22/01/2025 01:05,71.49,"Franklin, Smith and Hurley",Adamsland,MasterCard,Mobile,0
131,21/01/2025 16:03,54.03,"Poole, Ingram and Orozco",New Gregoryfort,MasterCard,Tablet,0
132,02/02/2025 06:31,25.12,Ayala Inc,Port Jameshaven,Visa,Desktop,0
133,18/01/2025 10:51,12.77,Juarez LLC,East Alexandra,Discover,Mobile,0
134,04/02/2025 06:13,41.19,Costa-Bonilla,West Brian,MasterCard,Desktop,0
135,09/01/2025 05:59,286.31,Burns-Osborne,South Brian,Discover,Mobile,0
136,30/01/2025 21:50,39.04,Smith-Cisneros,Benjaminborough,MasterCard,Tablet,0
137,16/01/2025 03:00,73.15,Sherman and Sons,Donaldborough,Amex,Desktop,0
138,18/01/2025 06:23,121.41,Sanders Group,Jacksonton,MasterCard,Mobile,0
139,05/02/2025 18:18,45.2,Rush-Pena,Bellburgh,MasterCard,Tablet,1
140,03/02/2025 21:55,356.78,Foster Ltd,New Janice,MasterCard,Desktop,0
141,09/01/2025 00:48,328.2,"Green, Jackson and Lawrence",Aaronfurt,Visa,Mobile,0
142,10/01/2025 16:01,29.01,Clark PLC,Jenniferchester,Amex,Desktop,0
143,18/01/2025 08:14,68.77,Perez-Daniels,South Danielbury,MasterCard,Mobile,0
144,04/02/2025 13:14,35.79,Johnson PLC,North Amymouth,MasterCard,Tablet,0
145,01/02/2025 12:34,33.52,Smith PLC,New Robert,Discover,Tablet,0
146,16/01/2025 17:33,3.76,"Anderson, Anderson and Charles",Newmanstad,Amex,Desktop,0
147,21/01/2025 23:08,94.05,Ashley PLC,Port Geraldtown,MasterCard,Desktop,0
148,12/01/2025 14:35,69.85,Matthews-Webb,West Leah,Discover,Mobile,0
149,14/01/2025 21:24,5.29,Arellano and Sons,North Rebeccamouth,Discover,Tablet,0
150,24/01/2025 19:21,32.66,Parker-Garza,Kevinstad,Visa,Mobile,0
151,28/01/2025 02:36,238.89,Hicks and Sons,Ramseyfort,Discover,Tablet,0
152,27/01/2025 21:26,27.39,Sanders and Sons,Robinsonborough,MasterCard,Desktop,0
153,30/01/2025 02:08,15.65,"Hill, Love and Barron",West Nicholashaven,Visa,Mobile,0
154,15/01/2025 07:40,67.23,"Parker, Smith and Lynn",New Vincentton,Visa,Mobile,0
155,17/01/2025 14:01,424.4,Miller-Horne,Tammyburgh,MasterCard,Tablet,0
156,07/01/2025 15:40,27.71,"Russell, Smith and Benitez",East Ericchester,Amex,Tablet,0
157,12/01/2025 17:34,111.52,"Adams, Drake and Lopez",New Andrewview,Discover,Tablet,0
158,30/01/2025 10:40,143.39,Obrien LLC,West Benjaminfort,Visa,Desktop,0
159,02/02/2025 14:06,27.13,"Brown, Bautista and Hernandez",East Justin,Amex,Mobile,0
160,05/01/2025 08:16,130.27,Roberts LLC,West David,MasterCard,Tablet,0
161,02/02/2025 14:58,45.85,"Cooper, Harrison and Cline",New Ariel,Discover,Desktop,0
162,03/01/2025 14:12,100.05,Perez PLC,South Sarah,Discover,Tablet,0
163,24/01/2025 10:08,100.38,Holder Inc,Millerchester,Visa,Mobile,0
164,14/01/2025 07:09,76.74,"Morgan, Gardner and Martin",Thomasbury,Discover,Tablet,0
165,18/01/2025 23:17,9.46,Brown PLC,Lake Barbaraport,Discover,Mobile,0
166,11/01/2025 22:22,180.36,Ramirez-Anderson,Port Luismouth,Discover,Desktop,0
167,28/01/2025 13:41,38.68,"Burke, Steele and Freeman",Lake Matthewbury,Discover,Desktop,0
168,07/01/2025 20:30,20.64,"Johnson, Giles and Jones",New Crystal,MasterCard,Tablet,0
169,24/01/2025 11:14,4.16,Jones Ltd,East Rhondaside,Amex,Mobile,0
170,24/01/2025 08:55,89.38,Williams Inc,Hoborough,MasterCard,Mobile,0
171,04/02/2025 20:05,113.19,"Lucas, Lang and Garcia",North Judithborough,MasterCard,Mobile,0
172,22/01/2025 01:52,1.67,"Harris, Robinson and Ortiz",North Karenhaven,Visa,Tablet,0
173,11/01/2025 18:30,71.76,Chavez-Costa,South Rickyside,Discover,Mobile,0
174,31/01/2025 20:48,25.68,Cervantes Group,Cardenasfort,MasterCard,Mobile,0
175,05/01/2025 05:07,103.61,"Adams, Dixon and Hancock",North Karenland,Discover,Mobile,0
176,13/01/2025 01:06,19.16,Lawson PLC,Crosbyberg,MasterCard,Mobile,0
177,07/01/2025 23:27,117.42,Lopez and Sons,Dixonstad,MasterCard,Tablet,0
178,22/01/2025 14:46,48.9,Ramos Ltd,New Dustinbury,Visa,Tablet,0
179,23/01/2025 19:06,276.03,"Gardner, Orr and Schultz",East Kelly,Amex,Mobile,0
180,13/01/2025 15:45,14.79,Collier Inc,Dukefort,Amex,Mobile,0
181,20/01/2025 03:43,41.71,"Porter, Hill and Lin",North Cheryl,MasterCard,Desktop,0
182,17/01/2025 02:09,12.04,Jensen Group,Jasonbury,Visa,Desktop,0
183,02/01/2025 07:31,258.62,Gutierrez-Robinson,North Nicholasfurt,Discover,Mobile,0
184,05/02/2025 20:10,209.83,Porter-Daugherty,West Peterbury,Discover,Mobile,0
185,17/01/2025 15:56,29.83,"Montoya, Hernandez and Pham",Port Dalton,MasterCard,Desktop,0
186,31/01/2025 03:48,107.88,Bowers-Thompson,Rogersview,Amex,Desktop,0
187,03/01/2025 20:31,169.95,Hammond PLC,West Janetshire,Visa,Mobile,0
188,11/01/2025 02:34,81.01,Wagner and Sons,Caldwellchester,Amex,Tablet,0
189,13/01/2025 09:15,75.43,Woodward Inc,Johnsonland,Discover,Tablet,0
190,17/01/2025 12:54,27.69,Bird LLC,Brianburgh,Amex,Mobile,0
191,06/01/2025 22:56,9.77,Mills LLC,Ruthtown,Discover,Mobile,0
192,02/02/2025 12:02,227.51,"Boyer, Knight and Valenzuela",New Natalietown,Visa,Desktop,0
193,25/01/2025 11:59,230.68,"Palmer, Santiago and Jackson",North Nataliemouth,Visa,Desktop,0
194,27/01/2025 00:27,100.27,"Young, Turner and Mack",North Amber,MasterCard,Tablet,0
195,28/01/2025 04:18,41.4,"Hall, Frazier and Martin",East Amy,MasterCard,Mobile,0
196,28/01/2025 16:05,42.96,"Weaver, Walker and Brock",Burtonfort,Amex,Desktop,0
197,19/01/2025 22:16,129.45,"Kelley, House and Leonard",Juliastad,Visa,Tablet,0
198,25/01/2025 08:49,227.41,Delacruz PLC,Ramirezland,Visa,Tablet,0
199,11/01/2025 02:53,218.11,Rios Inc,Ashleybury,MasterCard,Tablet,0
200,30/01/2025 04:33,151.36,Bell LLC,Gilesberg,Discover,Desktop,0
201,23/01/2025 16:01,102.73,Wang and Sons,North Meghanville,Amex,Desktop,0
202,26/01/2025 00:36,8.79,"Thompson, Tran and Pierce",Michaelland,Amex,Mobile,0
203,25/01/2025 02:45,17.63,Murphy-Ortiz,Patrickchester,MasterCard,Mobile,0
204,05/01/2025 22:00,228.82,Johnston and Sons,New Nathanside,Visa,Tablet,0
205,11/01/2025 16:18,93.25,"Mosley, Reynolds and Watson",North Logan,MasterCard,Tablet,0
206,26/01/2025 23:10,0.92,Sharp Ltd,New Erica,MasterCard,Desktop,0
207,25/01/2025 11:34,10.7,Rich-Austin,East Robert,MasterCard,Desktop,0
208,05/01/2025 09:24,108.92,"Ferguson, Tanner and James",Lake Kimmouth,MasterCard,Mobile,0
209,03/01/2025 11:48,0.51,Williams-Holmes,Taylorchester,Discover,Mobile,0
210,08/01/2025 20:08,17.53,Sanchez-Rose,Angelafurt,Discover,Mobile,0
211,20/01/2025 09:39,79.57,Gonzales-Pitts,East Desiree,Visa,Desktop,0
212,03/02/2025 23:07,117.73,Young LLC,North Sarah,MasterCard,Tablet,0
213,12/01/2025 14:29,105.54,Horton Group,Morganfort,Discover,Mobile,0
214,13/01/2025 06:38,25.39,Allen-Mccarthy,South Danielport,Visa,Mobile,0
215,14/01/2025 14:12,124.54,Parker-Berry,Lake Robertland,MasterCard,Desktop,0
216,27/01/2025 18:15,27.08,Powell-Martin,New Carriechester,Amex,Mobile,0
217,22/01/2025 02:04,39.36,Bender LLC,East Dawnport,Discover,Tablet,0
218,17/01/2025 07:36,137.24,Rodriguez-Haney,Port Dorothy,Visa,Desktop,0
219,25/01/2025 15:13,104.88,"Garcia, Leon and Evans",South John,Amex,Mobile,0
220,07/01/2025 03:52,189.2,Roberts Group,Barberside,MasterCard,Mobile,0
221,07/01/2025 19:18,107.18,Wise-Davis,Blakemouth,MasterCard,Desktop,0
222,03/01/2025 20:40,84,Valencia Group,Prattstad,MasterCard,Desktop,0
223,02/01/2025 07:18,9.84,Gomez and Sons,New Matthewfort,Discover,Mobile,0
224,18/01/2025 21:51,45.84,Jarvis-Jones,Calebside,Visa,Tablet,0
225,14/01/2025 21:41,30.82,"Johnson, Poole and Lopez",Hendersonfurt,Amex,Desktop,0
226,17/01/2025 05:46,27.97,"Rice, Patterson and Adams",Michelleside,Visa,Tablet,0
227,27/01/2025 20:08,361.23,"Matthews, Howard and Perez",Port Tylerview,Discover,Mobile,0
228,02/02/2025 11:04,49.94,Yang PLC,Lake Andrea,Visa,Tablet,0
229,07/01/2025 14:54,222.61,Franklin Group,Ericmouth,Discover,Mobile,0
230,11/01/2025 07:49,99.73,Villegas-Gutierrez,West Jeffrey,MasterCard,Mobile,1
231,01/01/2025 15:42,158.38,Nelson and Sons,East Valerie,Amex,Mobile,0
232,20/01/2025 18:17,69.84,Brown-Lane,Courtneystad,MasterCard,Mobile,0
233,27/01/2025 20:23,86.02,"Bernard, Alexander and Miller",Laurenside,Visa,Tablet,0
234,24/01/2025 12:37,67.83,Rodriguez LLC,New Crystal,MasterCard,Mobile,0
235,19/01/2025 19:04,21.72,Pacheco-West,Lynchmouth,Amex,Mobile,0
236,10/01/2025 06:10,128.18,Delacruz-Stephens,Woodstad,MasterCard,Tablet,0
237,01/01/2025 08:07,32.96,Cook-Garza,Grimeschester,Amex,Desktop,0
238,02/01/2025 01:18,2.46,"Dickerson, Rodriguez and Roberts",Norrisberg,Amex,Tablet,0
239,31/01/2025 23:00,103.7,Brooks PLC,Colemanchester,MasterCard,Tablet,0
240,28/01/2025 04:38,19.49,Blanchard-Holt,Lake Nicholasburgh,Discover,Tablet,0
241,18/01/2025 16:18,282.11,Phillips-Boyd,Nathanburgh,Visa,Mobile,0
242,01/02/2025 05:45,307.76,Hunt Group,Ashleymouth,Discover,Mobile,0
243,03/01/2025 22:55,246.35,Ortiz-Hoover,Jacobchester,Discover,Mobile,0
